Assignment 8 - Question 1 Aggregation Report

facility_name	provider_name	years_experience	facility_mean_experience	facility_std_experience	facility_zscore_experience	facility_total_service_charge
Oncology Treatment Center	Casey Johnson	6	19.3811394891945	10.87238600488255	-1.230745439242621	334927.3
Community Health Clinic	Avery Miller	13	20.16078431372549	11.04401051893677	-0.6483862272176534	334992.21
Primary Care Clinic	Jamie Smith	21	20.102970297029703	11.077168491755957	0.08098005403076607	323315.71
Surgical Specialty Center	Casey Jones	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Emergency Medical Center	Sam Garcia	21	19.66868686868687	11.023866696226115	0.12076643958048672	310735.25
Northside Urgent Care	Quinn Brown	14	20.137014314928425	10.581438670904161	-0.5799791980842272	297283.06
Pediatric Care Center	Quinn Johnson	26	19.811676082862522	10.999242478915267	0.562613646257916	361811.04
Oncology Treatment Center	Quinn Anderson	17	19.3811394891945	10.87238600488255	-0.21900799770401655	334927.3
City General Hospital	Alex Jones	3	19.5630081300813	10.702137018258142	-1.5476355892121685	295508.13
Pediatric Care Center	Jordan Smith	20	19.811676082862522	10.999242478915267	0.017121535187398635	361811.04
Community Health Clinic	Quinn Smith	24	20.16078431372549	11.04401051893677	0.3476287603757299	334992.21
Oncology Treatment Center	Casey Smith	34	19.3811394891945	10.87238600488255	1.3445862301283722	334927.3
Primary Care Clinic	Casey Martinez	24	20.102970297029703	11.077168491755957	0.35180738704756653	323315.71
Emergency Medical Center	Drew Johnson	22	19.66868686868687	11.023866696226115	0.21147871210300712	310735.25
Cardiology Specialty Center	Jordan Smith	34	19.31972789115646	10.484611924077868	1.4001731504368182	276658.83
Regional Medical Center	Riley Wilson	29	20.209205020920503	11.57593465333748	0.759402609148714	316284.98
Oncology Treatment Center	Riley Martinez	26	19.3811394891945	10.87238600488255	0.6087771817366598	334927.3
Emergency Medical Center	Taylor Williams	8	19.66868686868687	11.023866696226115	-1.0584931032122786	310735.25
Emergency Medical Center	Casey Brown	5	19.66868686868687	11.023866696226115	-1.3306299207798398	310735.25
Community Health Clinic	Jordan Brown	5	20.16078431372549	11.04401051893677	-1.3727607636492047	334992.21
Regional Medical Center	Jamie Johnson	26	20.209205020920503	11.57593465333748	0.5002442699009139	316284.98
City General Hospital	Cameron Davis	33	19.5630081300813	10.702137018258142	1.2555428740068286	295508.13
Oncology Treatment Center	Alex Miller	9	19.3811394891945	10.87238600488255	-0.9548170460957289	334927.3
Pediatric Care Center	Alex Wilson	35	19.811676082862522	10.999242478915267	1.3808518128636922	361811.04
Emergency Medical Center	Casey Garcia	12	19.66868686868687	11.023866696226115	-0.6956440131221969	310735.25
Primary Care Clinic	Jamie Brown	2	20.102970297029703	11.077168491755957	-1.6342597217423036	323315.71
Oncology Treatment Center	Drew Anderson	25	19.3811394891945	10.87238600488255	0.5168010506876958	334927.3
Community Health Clinic	Casey Jones	21	20.16078431372549	11.04401051893677	0.0759883092138981	334992.21
Oncology Treatment Center	Cameron Williams	17	19.3811394891945	10.87238600488255	-0.21900799770401655	334927.3
Community Health Clinic	Cameron Miller	30	20.16078431372549	11.04401051893677	0.8909096626993934	334992.21
Community Health Clinic	Sam Anderson	13	20.16078431372549	11.04401051893677	-0.6483862272176534	334992.21
Pediatric Care Center	Alex Jones	22	19.811676082862522	10.999242478915267	0.1989522388775711	361811.04
Community Health Clinic	Quinn Wilson	25	20.16078431372549	11.04401051893677	0.43817557742967383	334992.21
Pediatric Care Center	Morgan Anderson	19	19.811676082862522	10.999242478915267	-0.0737938166576876	361811.04
Regional Medical Center	Taylor Jones	3	20.209205020920503	11.57593465333748	-1.4866363309988868	316284.98
Pediatric Care Center	Alex Garcia	34	19.811676082862522	10.999242478915267	1.289936461018606	361811.04
Regional Medical Center	Sam Miller	11	20.209205020920503	11.57593465333748	-0.7955474263380866	316284.98
Pediatric Care Center	Quinn Johnson	29	19.811676082862522	10.999242478915267	0.8353597017931748	361811.04
Cardiology Specialty Center	Morgan Davis	9	19.31972789115646	10.484611924077868	-0.9842737114053072	276658.83
Oncology Treatment Center	Cameron Williams	4	19.3811394891945	10.87238600488255	-1.414697701340549	334927.3
Emergency Medical Center	Avery Brown	39	19.66868686868687	11.023866696226115	1.753587344985854	310735.25
Surgical Specialty Center	Drew Williams	26	20.778181818181817	11.35813247735185	0.4597426726823713	349909.18
Pediatric Care Center	Sam Williams	20	19.811676082862522	10.999242478915267	0.017121535187398635	361811.04
Oncology Treatment Center	Taylor Rodriguez	17	19.3811394891945	10.87238600488255	-0.21900799770401655	334927.3
Emergency Medical Center	Alex Martinez	6	19.66868686868687	11.023866696226115	-1.2399176482573193	310735.25
Oncology Treatment Center	Jamie Johnson	26	19.3811394891945	10.87238600488255	0.6087771817366598	334927.3
Emergency Medical Center	Drew Williams	3	19.66868686868687	11.023866696226115	-1.5120544658248807	310735.25
Pediatric Care Center	Morgan Garcia	36	19.811676082862522	10.999242478915267	1.4717671647087784	361811.04
Emergency Medical Center	Jordan Brown	37	19.66868686868687	11.023866696226115	1.5721627999408132	310735.25
Emergency Medical Center	Taylor Anderson	33	19.66868686868687	11.023866696226115	1.2093137098507316	310735.25
Primary Care Clinic	Sam Williams	28	20.102970297029703	11.077168491755957	0.7129104977366338	323315.71
Primary Care Clinic	Riley Brown	4	20.102970297029703	11.077168491755957	-1.45370816639777	323315.71
Northside Urgent Care	Quinn Miller	13	20.137014314928425	10.581438670904161	-0.6744843056694277	297283.06
Primary Care Clinic	Quinn Johnson	29	20.102970297029703	11.077168491755957	0.8031862754089006	323315.71
Emergency Medical Center	Jordan Smith	34	19.66868686868687	11.023866696226115	1.300025982373252	310735.25
Regional Medical Center	Taylor Rodriguez	6	20.209205020920503	11.57593465333748	-1.2274779917510867	316284.98
Pediatric Care Center	Alex Garcia	39	19.811676082862522	10.999242478915267	1.744513220244037	361811.04
City General Hospital	Jordan Garcia	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Regional Medical Center	Quinn Jones	21	20.209205020920503	11.57593465333748	0.06831370448791373	316284.98
Oncology Treatment Center	Quinn Anderson	35	19.3811394891945	10.87238600488255	1.4365623611773362	334927.3
Regional Medical Center	Drew Wilson	1	20.209205020920503	11.57593465333748	-1.6594085571640869	316284.98
Northside Urgent Care	Riley Martinez	26	20.137014314928425	10.581438670904161	0.5540820929381803	297283.06
Community Health Clinic	Avery Jones	1	20.16078431372549	11.04401051893677	-1.7349480318649806	334992.21
Oncology Treatment Center	Taylor Miller	35	19.3811394891945	10.87238600488255	1.4365623611773362	334927.3
Cardiology Specialty Center	Alex Martinez	6	19.31972789115646	10.484611924077868	-1.2704073348263623	276658.83
Surgical Specialty Center	Jordan Miller	6	20.778181818181817	11.35813247735185	-1.3011101822988556	349909.18
Regional Medical Center	Taylor Davis	37	20.209205020920503	11.57593465333748	1.4504915138095142	316284.98
City General Hospital	Riley Williams	14	19.5630081300813	10.702137018258142	-0.5198034860318695	295508.13
City General Hospital	Sam Miller	11	19.5630081300813	10.702137018258142	-0.8001213323537693	295508.13
Emergency Medical Center	Quinn Rodriguez	5	19.66868686868687	11.023866696226115	-1.3306299207798398	310735.25
Northside Urgent Care	Jordan Miller	30	20.137014314928425	10.581438670904161	0.9321025232789828	297283.06
Regional Medical Center	Jamie Wilson	6	20.209205020920503	11.57593465333748	-1.2274779917510867	316284.98
Pediatric Care Center	Jordan Anderson	34	19.811676082862522	10.999242478915267	1.289936461018606	361811.04
Cardiology Specialty Center	Quinn Johnson	29	19.31972789115646	10.484611924077868	0.9232837780683932	276658.83
City General Hospital	Jamie Smith	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Pediatric Care Center	Quinn Smith	15	19.811676082862522	10.999242478915267	-0.43745522403803255	361811.04
Emergency Medical Center	Jamie Wilson	35	19.66868686868687	11.023866696226115	1.3907382548957723	310735.25
Community Health Clinic	Jamie Rodriguez	9	20.16078431372549	11.04401051893677	-1.0105734954334291	334992.21
Northside Urgent Care	Taylor Martinez	26	20.137014314928425	10.581438670904161	0.5540820929381803	297283.06
Surgical Specialty Center	Alex Martinez	6	20.778181818181817	11.35813247735185	-1.3011101822988556	349909.18
Northside Urgent Care	Jordan Wilson	4	20.137014314928425	10.581438670904161	-1.5250302739362334	297283.06
Regional Medical Center	Avery Jones	10	20.209205020920503	11.57593465333748	-0.8819335394206866	316284.98
Community Health Clinic	Sam Johnson	22	20.16078431372549	11.04401051893677	0.16653512626784203	334992.21
Oncology Treatment Center	Jamie Davis	10	19.3811394891945	10.87238600488255	-0.8628409150467649	334927.3
Emergency Medical Center	Alex Brown	20	19.66868686868687	11.023866696226115	0.03005416705796631	310735.25
Regional Medical Center	Morgan Wilson	24	20.209205020920503	11.57593465333748	0.3274720437357138	316284.98
Cardiology Specialty Center	Alex Brown	27	19.31972789115646	10.484611924077868	0.7325280291210232	276658.83
Primary Care Clinic	Drew Davis	28	20.102970297029703	11.077168491755957	0.7129104977366338	323315.71
City General Hospital	Sam Rodriguez	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Northside Urgent Care	Taylor Anderson	7	20.137014314928425	10.581438670904161	-1.2415149511806314	297283.06
Cardiology Specialty Center	Cameron Brown	28	19.31972789115646	10.484611924077868	0.8279059035947082	276658.83
Surgical Specialty Center	Alex Garcia	17	20.778181818181817	11.35813247735185	-0.3326411120591808	349909.18
Oncology Treatment Center	Casey Johnson	6	19.3811394891945	10.87238600488255	-1.230745439242621	334927.3
Regional Medical Center	Morgan Davis	21	20.209205020920503	11.57593465333748	0.06831370448791373	316284.98
Oncology Treatment Center	Quinn Davis	12	19.3811394891945	10.87238600488255	-0.6788886529488367	334927.3
Primary Care Clinic	Jordan Smith	16	20.102970297029703	11.077168491755957	-0.370398834330568	323315.71
Northside Urgent Care	Cameron Johnson	3	20.137014314928425	10.581438670904161	-1.619535381521434	297283.06
City General Hospital	Alex Wilson	13	19.5630081300813	10.702137018258142	-0.6132427681391694	295508.13
Pediatric Care Center	Quinn Anderson	17	19.811676082862522	10.999242478915267	-0.25562452034786004	361811.04
Cardiology Specialty Center	Jordan Martinez	23	19.31972789115646	10.484611924077868	0.3510165312262831	276658.83
Community Health Clinic	Sam Williams	15	20.16078431372549	11.04401051893677	-0.4672925931097655	334992.21
Community Health Clinic	Jamie Johnson	26	20.16078431372549	11.04401051893677	0.5287223944836177	334992.21
City General Hospital	Taylor Johnson	36	19.5630081300813	10.702137018258142	1.5358607203287284	295508.13
Primary Care Clinic	Avery Smith	24	20.102970297029703	11.077168491755957	0.35180738704756653	323315.71
Oncology Treatment Center	Drew Rodriguez	8	19.3811394891945	10.87238600488255	-1.046793177144693	334927.3
Northside Urgent Care	Quinn Johnson	26	20.137014314928425	10.581438670904161	0.5540820929381803	297283.06
Northside Urgent Care	Jamie Davis	10	20.137014314928425	10.581438670904161	-0.9579996284250296	297283.06
Community Health Clinic	Cameron Anderson	39	20.16078431372549	11.04401051893677	1.7058310161848889	334992.21
Pediatric Care Center	Sam Martinez	38	19.811676082862522	10.999242478915267	1.6535978683989507	361811.04
Northside Urgent Care	Cameron Smith	11	20.137014314928425	10.581438670904161	-0.863494520839829	297283.06
Primary Care Clinic	Cameron Jones	21	20.102970297029703	11.077168491755957	0.08098005403076607	323315.71
Regional Medical Center	Morgan Anderson	5	20.209205020920503	11.57593465333748	-1.3138641048336868	316284.98
Primary Care Clinic	Jordan Smith	34	20.102970297029703	11.077168491755957	1.2545651637702349	323315.71
Oncology Treatment Center	Cameron Jones	21	19.3811394891945	10.87238600488255	0.1488965264918396	334927.3
Community Health Clinic	Avery Martinez	33	20.16078431372549	11.04401051893677	1.1625501138612253	334992.21
Surgical Specialty Center	Casey Smith	34	20.778181818181817	11.35813247735185	1.164083814674862	349909.18
Northside Urgent Care	Riley Miller	20	20.137014314928425	10.581438670904161	-0.012948552573023393	297283.06
Emergency Medical Center	Jamie Garcia	8	19.66868686868687	11.023866696226115	-1.0584931032122786	310735.25
Surgical Specialty Center	Jamie Rodriguez	13	20.778181818181817	11.35813247735185	-0.6848116830554262	349909.18
Surgical Specialty Center	Casey Anderson	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Surgical Specialty Center	Riley Anderson	20	20.778181818181817	11.35813247735185	-0.06851318381199675	349909.18
City General Hospital	Alex Williams	8	19.5630081300813	10.702137018258142	-1.080439178675669	295508.13
Surgical Specialty Center	Sam Brown	5	20.778181818181817	11.35813247735185	-1.3891528250479168	349909.18
Regional Medical Center	Jordan Garcia	5	20.209205020920503	11.57593465333748	-1.3138641048336868	316284.98
Surgical Specialty Center	Riley Miller	4	20.778181818181817	11.35813247735185	-1.4771954677969783	349909.18
Oncology Treatment Center	Taylor Smith	31	19.3811394891945	10.87238600488255	1.06865783698148	334927.3
Oncology Treatment Center	Taylor Brown	20	19.3811394891945	10.87238600488255	0.05692039544287556	334927.3
Surgical Specialty Center	Cameron Miller	4	20.778181818181817	11.35813247735185	-1.4771954677969783	349909.18
Primary Care Clinic	Alex Smith	2	20.102970297029703	11.077168491755957	-1.6342597217423036	323315.71
Oncology Treatment Center	Cameron Anderson	39	19.3811394891945	10.87238600488255	1.8044668853731922	334927.3
Oncology Treatment Center	Cameron Johnson	14	19.3811394891945	10.87238600488255	-0.4949363908509087	334927.3
Northside Urgent Care	Jamie Davis	22	20.137014314928425	10.581438670904161	0.17606166259737785	297283.06
Oncology Treatment Center	Taylor Wilson	3	19.3811394891945	10.87238600488255	-1.506673832389513	334927.3
Pediatric Care Center	Jordan Williams	14	19.811676082862522	10.999242478915267	-0.5283705758831188	361811.04
Oncology Treatment Center	Casey Martinez	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Surgical Specialty Center	Drew Wilson	37	20.778181818181817	11.35813247735185	1.428211742922046	349909.18
Surgical Specialty Center	Jamie Anderson	10	20.778181818181817	11.35813247735185	-0.9489396113026102	349909.18
Surgical Specialty Center	Jordan Brown	37	20.778181818181817	11.35813247735185	1.428211742922046	349909.18
Primary Care Clinic	Drew Williams	14	20.102970297029703	11.077168491755957	-0.5509503896751017	323315.71
City General Hospital	Taylor Brown	20	19.5630081300813	10.702137018258142	0.04083220661192988	295508.13
Pediatric Care Center	Cameron Johnson	14	19.811676082862522	10.999242478915267	-0.5283705758831188	361811.04
Northside Urgent Care	Sam Miller	33	20.137014314928425	10.581438670904161	1.2156178460345848	297283.06
Community Health Clinic	Sam Williams	15	20.16078431372549	11.04401051893677	-0.4672925931097655	334992.21
Community Health Clinic	Quinn Rodriguez	36	20.16078431372549	11.04401051893677	1.434190565023057	334992.21
Emergency Medical Center	Casey Rodriguez	24	19.66868686868687	11.023866696226115	0.3929032571480479	310735.25
Pediatric Care Center	Quinn Anderson	11	19.811676082862522	10.999242478915267	-0.8011166314183774	361811.04
Surgical Specialty Center	Morgan Garcia	36	20.778181818181817	11.35813247735185	1.3401691001729847	349909.18
Northside Urgent Care	Cameron Johnson	14	20.137014314928425	10.581438670904161	-0.5799791980842272	297283.06
Cardiology Specialty Center	Quinn Smith	19	19.31972789115646	10.484611924077868	-0.03049496666845696	276658.83
Community Health Clinic	Sam Rodriguez	38	20.16078431372549	11.04401051893677	1.6152841991309448	334992.21
Surgical Specialty Center	Morgan Davis	9	20.778181818181817	11.35813247735185	-1.0369822540516715	349909.18
Pediatric Care Center	Taylor Davis	25	19.811676082862522	10.999242478915267	0.4716982944128298	361811.04
Surgical Specialty Center	Casey Jones	6	20.778181818181817	11.35813247735185	-1.3011101822988556	349909.18
Emergency Medical Center	Drew Rodriguez	8	19.66868686868687	11.023866696226115	-1.0584931032122786	310735.25
Cardiology Specialty Center	Taylor Miller	6	19.31972789115646	10.484611924077868	-1.2704073348263623	276658.83
Surgical Specialty Center	Casey Williams	15	20.778181818181817	11.35813247735185	-0.5087263975573034	349909.18
Surgical Specialty Center	Drew Williams	11	20.778181818181817	11.35813247735185	-0.8608969685535488	349909.18
Emergency Medical Center	Drew Williams	14	19.66868686868687	11.023866696226115	-0.5142194680771561	310735.25
Community Health Clinic	Sam Brown	5	20.16078431372549	11.04401051893677	-1.3727607636492047	334992.21
Surgical Specialty Center	Morgan Davis	21	20.778181818181817	11.35813247735185	0.01952945893706458	349909.18
Primary Care Clinic	Avery Brown	19	20.102970297029703	11.077168491755957	-0.09957150131376757	323315.71
Northside Urgent Care	Quinn Davis	18	20.137014314928425	10.581438670904161	-0.20195876774342464	297283.06
Regional Medical Center	Sam Williams	20	20.209205020920503	11.57593465333748	-0.018072408594686316	316284.98
Cardiology Specialty Center	Jamie Smith	21	19.31972789115646	10.484611924077868	0.16026078227891308	276658.83
Cardiology Specialty Center	Jordan Rodriguez	22	19.31972789115646	10.484611924077868	0.2556386567525981	276658.83
Surgical Specialty Center	Taylor Smith	4	20.778181818181817	11.35813247735185	-1.4771954677969783	349909.18
Cardiology Specialty Center	Quinn Johnson	29	19.31972789115646	10.484611924077868	0.9232837780683932	276658.83
Cardiology Specialty Center	Jamie Rodriguez	9	19.31972789115646	10.484611924077868	-0.9842737114053072	276658.83
Surgical Specialty Center	Casey Jones	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Pediatric Care Center	Casey Johnson	19	19.811676082862522	10.999242478915267	-0.0737938166576876	361811.04
Cardiology Specialty Center	Jordan Anderson	17	19.31972789115646	10.484611924077868	-0.221250715615827	276658.83
Primary Care Clinic	Alex Williams	15	20.102970297029703	11.077168491755957	-0.4606746120028349	323315.71
Community Health Clinic	Riley Williams	14	20.16078431372549	11.04401051893677	-0.5578394101637094	334992.21
City General Hospital	Drew Miller	28	19.5630081300813	10.702137018258142	0.7883464634703291	295508.13
Primary Care Clinic	Jordan Anderson	1	20.102970297029703	11.077168491755957	-1.7245354994145703	323315.71
Regional Medical Center	Riley Martinez	26	20.209205020920503	11.57593465333748	0.5002442699009139	316284.98
Community Health Clinic	Drew Williams	3	20.16078431372549	11.04401051893677	-1.5538543977570927	334992.21
Northside Urgent Care	Jamie Wilson	8	20.137014314928425	10.581438670904161	-1.1470098435954308	297283.06
Northside Urgent Care	Sam Brown	5	20.137014314928425	10.581438670904161	-1.4305251663510328	297283.06
Surgical Specialty Center	Quinn Jones	11	20.778181818181817	11.35813247735185	-0.8608969685535488	349909.18
Cardiology Specialty Center	Riley Wilson	14	19.31972789115646	10.484611924077868	-0.5073843390368821	276658.83
Community Health Clinic	Drew Wilson	38	20.16078431372549	11.04401051893677	1.6152841991309448	334992.21
Regional Medical Center	Drew Wilson	9	20.209205020920503	11.57593465333748	-0.9683196525032867	316284.98
Primary Care Clinic	Avery Garcia	21	20.102970297029703	11.077168491755957	0.08098005403076607	323315.71
Northside Urgent Care	Casey Wilson	8	20.137014314928425	10.581438670904161	-1.1470098435954308	297283.06
Pediatric Care Center	Alex Brown	12	19.811676082862522	10.999242478915267	-0.7102012795732913	361811.04
Pediatric Care Center	Jamie Smith	6	19.811676082862522	10.999242478915267	-1.2556933906438086	361811.04
Community Health Clinic	Cameron Anderson	32	20.16078431372549	11.04401051893677	1.0720032968072812	334992.21
Pediatric Care Center	Taylor Rodriguez	11	19.811676082862522	10.999242478915267	-0.8011166314183774	361811.04
Regional Medical Center	Riley Williams	14	20.209205020920503	11.57593465333748	-0.5363890870902865	316284.98
City General Hospital	Jamie Brown	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Emergency Medical Center	Riley Garcia	26	19.66868686868687	11.023866696226115	0.5743278021930888	310735.25
City General Hospital	Avery Jones	19	19.5630081300813	10.702137018258142	-0.052607075495370026	295508.13
Oncology Treatment Center	Riley Anderson	20	19.3811394891945	10.87238600488255	0.05692039544287556	334927.3
Regional Medical Center	Drew Johnson	22	20.209205020920503	11.57593465333748	0.15469981757051376	316284.98
Oncology Treatment Center	Cameron Williams	4	19.3811394891945	10.87238600488255	-1.414697701340549	334927.3
City General Hospital	Riley Miller	4	19.5630081300813	10.702137018258142	-1.4541963071048687	295508.13
Surgical Specialty Center	Jordan Jones	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Community Health Clinic	Morgan Williams	19	20.16078431372549	11.04401051893677	-0.10510532489398977	334992.21
Regional Medical Center	Alex Garcia	17	20.209205020920503	11.57593465333748	-0.2772307478424864	316284.98
Regional Medical Center	Jordan Brown	37	20.209205020920503	11.57593465333748	1.4504915138095142	316284.98
Surgical Specialty Center	Jordan Wilson	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Surgical Specialty Center	Jordan Smith	16	20.778181818181817	11.35813247735185	-0.4206837548082421	349909.18
Cardiology Specialty Center	Casey Anderson	33	19.31972789115646	10.484611924077868	1.3047952759631332	276658.83
Primary Care Clinic	Drew Williams	27	20.102970297029703	11.077168491755957	0.622634720064367	323315.71
Northside Urgent Care	Morgan Garcia	33	20.137014314928425	10.581438670904161	1.2156178460345848	297283.06
Northside Urgent Care	Quinn Jones	30	20.137014314928425	10.581438670904161	0.9321025232789828	297283.06
Regional Medical Center	Quinn Wilson	25	20.209205020920503	11.57593465333748	0.41385815681831384	316284.98
Community Health Clinic	Sam Williams	28	20.16078431372549	11.04401051893677	0.7098160285915056	334992.21
Surgical Specialty Center	Drew Garcia	24	20.778181818181817	11.35813247735185	0.2836573871842486	349909.18
Oncology Treatment Center	Quinn Jones	11	19.3811394891945	10.87238600488255	-0.7708647839978008	334927.3
City General Hospital	Morgan Williams	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Emergency Medical Center	Cameron Anderson	1	19.66868686868687	11.023866696226115	-1.6934790108699214	310735.25
City General Hospital	Casey Miller	28	19.5630081300813	10.702137018258142	0.7883464634703291	295508.13
Regional Medical Center	Quinn Brown	16	20.209205020920503	11.57593465333748	-0.36361686092508644	316284.98
City General Hospital	Avery Davis	36	19.5630081300813	10.702137018258142	1.5358607203287284	295508.13
Community Health Clinic	Alex Smith	35	20.16078431372549	11.04401051893677	1.343643747969113	334992.21
Oncology Treatment Center	Jamie Garcia	8	19.3811394891945	10.87238600488255	-1.046793177144693	334927.3
Surgical Specialty Center	Quinn Jones	7	20.778181818181817	11.35813247735185	-1.2130675395497943	349909.18
Northside Urgent Care	Jamie Wilson	35	20.137014314928425	10.581438670904161	1.404628061204986	297283.06
Cardiology Specialty Center	Jordan Johnson	34	19.31972789115646	10.484611924077868	1.4001731504368182	276658.83
City General Hospital	Quinn Jones	30	19.5630081300813	10.702137018258142	0.9752250276849289	295508.13
Primary Care Clinic	Cameron Smith	5	20.102970297029703	11.077168491755957	-1.363432388725503	323315.71
Pediatric Care Center	Taylor Davis	16	19.811676082862522	10.999242478915267	-0.3465398721929463	361811.04
Pediatric Care Center	Alex Anderson	32	19.811676082862522	10.999242478915267	1.1081057573284334	361811.04
Regional Medical Center	Quinn Rodriguez	20	20.209205020920503	11.57593465333748	-0.018072408594686316	316284.98
Emergency Medical Center	Cameron Anderson	16	19.66868686868687	11.023866696226115	-0.33279492303211533	310735.25
Oncology Treatment Center	Quinn Smith	19	19.3811394891945	10.87238600488255	-0.035055735606088476	334927.3
Surgical Specialty Center	Jordan Wilson	4	20.778181818181817	11.35813247735185	-1.4771954677969783	349909.18
Cardiology Specialty Center	Cameron Davis	24	19.31972789115646	10.484611924077868	0.44639440569996813	276658.83
City General Hospital	Quinn Jones	32	19.5630081300813	10.702137018258142	1.1621035918995288	295508.13
Surgical Specialty Center	Taylor Brown	20	20.778181818181817	11.35813247735185	-0.06851318381199675	349909.18
Surgical Specialty Center	Quinn Jones	32	20.778181818181817	11.35813247735185	0.9879985291767394	349909.18
Oncology Treatment Center	Taylor Smith	10	19.3811394891945	10.87238600488255	-0.8628409150467649	334927.3
Cardiology Specialty Center	Quinn Wilson	37	19.31972789115646	10.484611924077868	1.6863067738578734	276658.83
Cardiology Specialty Center	Cameron Smith	18	19.31972789115646	10.484611924077868	-0.12587284114214198	276658.83
Community Health Clinic	Sam Williams	6	20.16078431372549	11.04401051893677	-1.282213946595261	334992.21
Primary Care Clinic	Jordan Johnson	34	20.102970297029703	11.077168491755957	1.2545651637702349	323315.71
Pediatric Care Center	Cameron Garcia	33	19.811676082862522	10.999242478915267	1.1990211091735197	361811.04
Emergency Medical Center	Alex Jones	14	19.66868686868687	11.023866696226115	-0.5142194680771561	310735.25
City General Hospital	Jamie Jones	11	19.5630081300813	10.702137018258142	-0.8001213323537693	295508.13
Oncology Treatment Center	Quinn Smith	15	19.3811394891945	10.87238600488255	-0.4029602598019446	334927.3
Community Health Clinic	Jordan Wilson	24	20.16078431372549	11.04401051893677	0.3476287603757299	334992.21
Surgical Specialty Center	Jordan Johnson	25	20.778181818181817	11.35813247735185	0.37170002993330997	349909.18
Pediatric Care Center	Taylor Wilson	24	19.811676082862522	10.999242478915267	0.3807829425677436	361811.04
Northside Urgent Care	Riley Martinez	26	20.137014314928425	10.581438670904161	0.5540820929381803	297283.06
Oncology Treatment Center	Drew Wilson	34	19.3811394891945	10.87238600488255	1.3445862301283722	334927.3
Pediatric Care Center	Riley Brown	4	19.811676082862522	10.999242478915267	-1.437524094333981	361811.04
Oncology Treatment Center	Alex Smith	28	19.3811394891945	10.87238600488255	0.7927294438345879	334927.3
Cardiology Specialty Center	Jamie Brown	21	19.31972789115646	10.484611924077868	0.16026078227891308	276658.83
Regional Medical Center	Quinn Martinez	24	20.209205020920503	11.57593465333748	0.3274720437357138	316284.98
City General Hospital	Jamie Martinez	26	19.5630081300813	10.702137018258142	0.6014678992557293	295508.13
Surgical Specialty Center	Morgan Garcia	18	20.778181818181817	11.35813247735185	-0.24459846931011944	349909.18
Pediatric Care Center	Quinn Martinez	24	19.811676082862522	10.999242478915267	0.3807829425677436	361811.04
Cardiology Specialty Center	Jamie Garcia	18	19.31972789115646	10.484611924077868	-0.12587284114214198	276658.83
Regional Medical Center	Drew Wilson	38	20.209205020920503	11.57593465333748	1.5368776268921143	316284.98
Oncology Treatment Center	Avery Miller	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Northside Urgent Care	Sam Miller	11	20.137014314928425	10.581438670904161	-0.863494520839829	297283.06
Emergency Medical Center	Quinn Johnson	38	19.66868686868687	11.023866696226115	1.6628750724633337	310735.25
City General Hospital	Jamie Jones	22	19.5630081300813	10.702137018258142	0.22771077082652968	295508.13
Emergency Medical Center	Drew Jones	28	19.66868686868687	11.023866696226115	0.7557523472381296	310735.25
Regional Medical Center	Quinn Rodriguez	35	20.209205020920503	11.57593465333748	1.2777192876443142	316284.98
Cardiology Specialty Center	Riley Brown	10	19.31972789115646	10.484611924077868	-0.8888958369316221	276658.83
Oncology Treatment Center	Cameron Garcia	23	19.3811394891945	10.87238600488255	0.3328487885897677	334927.3
Surgical Specialty Center	Taylor Williams	37	20.778181818181817	11.35813247735185	1.428211742922046	349909.18
City General Hospital	Casey Rodriguez	24	19.5630081300813	10.702137018258142	0.4145893350411295	295508.13
Oncology Treatment Center	Alex Brown	12	19.3811394891945	10.87238600488255	-0.6788886529488367	334927.3
Emergency Medical Center	Drew Rodriguez	27	19.66868686868687	11.023866696226115	0.6650400747156091	310735.25
Primary Care Clinic	Taylor Rodriguez	3	20.102970297029703	11.077168491755957	-1.5439839440700367	323315.71
Cardiology Specialty Center	Alex Rodriguez	8	19.31972789115646	10.484611924077868	-1.0796515858789921	276658.83
Cardiology Specialty Center	Jordan Miller	23	19.31972789115646	10.484611924077868	0.3510165312262831	276658.83
Primary Care Clinic	Drew Wilson	25	20.102970297029703	11.077168491755957	0.4420831647198334	323315.71
Emergency Medical Center	Jamie Jones	20	19.66868686868687	11.023866696226115	0.03005416705796631	310735.25
Northside Urgent Care	Jordan Miller	8	20.137014314928425	10.581438670904161	-1.1470098435954308	297283.06
City General Hospital	Jordan Anderson	17	19.5630081300813	10.702137018258142	-0.23948563970996983	295508.13
